experiment_name,backend,standardize,train_fraction,hidden_layers,steps,learning_rate,l2_lambda,parameter_count,weight_file,train_accuracy,validation_accuracy,test_accuracy,test_precision,test_recall,test_f1_score
manual_raw_baseline,manual,False,1.0,6,500,0.01,0.0,37,data/weights/4-6-1.npz,0.9681093394077449,0.9727272727272728,0.9635036496350365,0.9912280701754386,0.9262295081967213,0.9576271186440678
manual_standardized_baseline,manual,True,1.0,6,1000,0.03,0.0,37,data/weights/4-6-1.npz,0.9817767653758542,0.9636363636363636,0.9744525547445255,0.952755905511811,0.9918032786885246,0.9718875502008032
sklearn_standardized_baseline,sklearn,True,1.0,6,1000,0.03,0.0,37,data/weights/4-6-1.npz,0.9817767653758542,0.9636363636363636,0.9744525547445255,0.952755905511811,0.9918032786885246,0.9718875502008032
pytorch_standardized_baseline,pytorch,True,1.0,6,1000,0.03,0.0,37,data/weights/4-6-1.npz,0.9817767653758542,0.9636363636363636,0.9744525547445255,0.952755905511811,0.9918032786885246,0.9718875502008032
manual_regularized_deeper_data50,manual,True,0.5,10-6,1000,0.01,0.001,123,data/weights/4-10-6-1.npz,0.979498861047836,0.9590909090909091,0.9744525547445255,0.952755905511811,0.9918032786885246,0.9718875502008032
manual_regularized_deeper_data75,manual,True,0.75,10-6,1000,0.01,0.001,123,data/weights/4-10-6-1.npz,0.9726443768996961,0.9590909090909091,0.9708029197080292,0.9453125,0.9918032786885246,0.968
manual_regularized_deeper_data100,manual,True,1.0,10-6,1000,0.01,0.001,123,data/weights/4-10-6-1.npz,0.9783599088838268,0.9590909090909091,0.9708029197080292,0.9453125,0.9918032786885246,0.968
sklearn_regularized_deeper,sklearn,True,1.0,10-6,1000,0.01,0.001,123,data/weights/4-10-6-1.npz,0.9783599088838268,0.9590909090909091,0.9708029197080292,0.9453125,0.9918032786885246,0.968
pytorch_regularized_deeper,pytorch,True,1.0,10-6,1000,0.01,0.001,123,data/weights/4-10-6-1.npz,0.9783599088838268,0.9590909090909091,0.9708029197080292,0.9453125,0.9918032786885246,0.968
